"","EndDates","EndLocation","StartDates","StartLocation"
"1839",2017-12-21,"KR MRT Station ",2017-12-21,"Carpark 11 (BIZ)"
"1840",2016-06-03,"BIZ2",2016-06-03,"Computer Centre"
"1841",2015-02-08,"Opp. KR MRT Station",2015-02-08,"KR MRT Station "
"1842",2017-12-14,"University Town",2017-12-14,"Computer Centre"
"1843",2015-12-21,"KR MRT Station ",2015-12-21,"Opp. Yusof Ishak House"
"1844",2015-07-20,"Central Library",2015-07-20,"University Town"
"1845",2017-08-15,"Computer Centre",2017-08-15,"KR MRT Station "
"1846",2016-06-21,"KR MRT Station ",2016-06-21,"University Town"
"1847",2015-04-11,"Museum",2015-04-11,"Opp. House 12"
"1848",2016-02-18,"Computer Centre",2016-02-18,"PGP"
"1849",2016-08-04,"KR MRT Station ",2016-08-04,"COM2"
"1850",2016-12-20,"Central Library",2016-12-20,"KR MRT Station "
"1851",2016-08-17,"Computer Centre",2016-08-17,"COM2"
"1852",2017-08-10,"University Town",2017-08-10,"EA"
"1853",2015-05-26,"S17",2015-05-26,"Central Library"
"1854",2017-09-18,"S17",2017-09-18,"KR MRT Station "
"1855",2016-09-27,"University Town",2016-09-27,"Museum"
"1856",2016-06-04,"PGP",2016-06-04,"University Town"
"1857",2017-05-01,"LT29",2017-05-01,"S17"
"1858",2015-09-25,"COM2",2015-09-25,"Central Library"
"1859",2017-06-06,"Computer Centre",2017-06-06,"University Town"
"1860",2016-08-02,"Opp. KR MRT Station",2016-08-02,"University Town"
"1861",2015-01-06,"University Town",2015-01-06,"Museum"
"1862",2015-04-03,"Carpark 11 (BIZ)",2015-04-03,"University Town"
"1863",2017-08-21,"House 12",2017-08-21,"LT29"
"1864",2017-02-24,"Computer Centre",2017-02-24,"University Town"
"1865",2015-05-28,"Computer Centre",2015-05-28,"Kent Ridge Bus Terminal"
"1866",2015-03-02,"KR MRT Station ",2015-03-02,"LT29"
"1867",2017-06-21,"KR MRT Station ",2017-06-21,"KR MRT Station "
"1868",2016-09-06,"Central Library",2016-09-06,"KR MRT Station "
"1869",2015-04-18,"University Town",2015-04-18,"KR MRT Station "
"1870",2017-02-07,"AS7",2017-02-07,"University Town"
"1871",2015-03-09,"S17",2015-03-09,"KR MRT Station "
"1872",2015-04-29,"Carpark 11 (BIZ)",2015-04-29,"University Health Centre"
"1873",2016-08-26,"Central Library",2016-08-26,"University Town"
"1874",2016-02-16,"Opp. KR MRT Station",2016-02-16,"AS7"
"1875",2015-10-19,"LT29",2015-10-19,"KR MRT Station "
"1876",2017-07-13,"COM2",2017-07-13,"S17"
"1877",2015-12-29,"Opp. KR MRT Station",2015-12-29,"AS7"
"1878",2016-12-26,"KR MRT Station ",2016-12-26,"COM2"
"1879",2015-07-28,"LT29",2015-07-28,"House 15"
"1880",2017-11-23,"Opp. KR MRT Station",2017-11-23,"LT29"
"1881",2015-03-20,"KR MRT Station ",2015-03-20,"S17"
"1882",2016-11-11,"KR MRT Station ",2016-11-11,"Central Library"
"1883",2015-02-05,"Central Library",2015-02-05,"KR MRT Station "
"1884",2017-11-18,"House 15",2017-11-18,"Opp. KR MRT Station"
"1885",2017-11-01,"Computer Centre",2017-11-01,"LT13"
"1886",2017-11-18,"University Hall",2017-11-18,"Opp. University Hall"
"1887",2015-07-18,"S17",2015-07-18,"Computer Centre"
"1888",2016-01-22,"Carpark 11 (BIZ)",2016-01-22,"Opp. KR MRT Station"
"1889",2016-06-08,"Opp. KR MRT Station",2016-06-08,"Opp. House 12"
"1890",2017-07-12,"LT29",2017-07-12,"Central Library"
"1891",2015-08-25,"KR MRT Station ",2015-08-25,"Opp. Yusof Ishak House"
"1892",2017-07-14,"Opp. KR MRT Station",2017-07-14,"KR MRT Station "
"1893",2015-11-16,"KR MRT Station ",2015-11-16,"Opp. University Health Centre"
"1894",2016-12-30,"COM2",2016-12-30,"KR MRT Station "
"1895",2015-01-27,"University Town",2015-01-27,"Ventus (Opp. LT13)"
"1896",2015-01-29,"LT29",2015-01-29,"House 15"
"1897",2015-02-23,"COM2",2015-02-23,"Opp. University Health Centre"
"1898",2015-02-18,"Raffles Hall",2015-02-18,"Computer Centre"
"1899",2017-05-09,"KR MRT Station ",2017-05-09,"Opp. Yusof Ishak House"
"1900",2015-06-10,"Opp. University Health Centre",2015-06-10,"Computer Centre"
"1901",2016-10-10,"Raffles Hall",2016-10-10,"Opp. University Hall"
"1902",2017-03-31,"Opp. KR MRT Station",2017-03-31,"COM2"
"1903",2016-07-01,"Yusof Ishak House",2016-07-01,"House 7"
"1904",2016-08-22,"KR MRT Station ",2016-08-22,"University Town"
"1905",2015-11-15,"LT29",2015-11-15,"University Town"
"1906",2016-05-02,"Raffles Hall",2016-05-02,"Computer Centre"
"1907",2015-04-11,"KR MRT Station ",2015-04-11,"Opp. Hon Sui Sen Memorial Library"
"1908",2016-11-24,"S17",2016-11-24,"University Town"
"1909",2015-05-13,"University Town",2015-05-13,"Yusof Ishak House"
"1910",2016-10-08,"Computer Centre",2016-10-08,"University Town"
"1911",2017-07-06,"Opp. KR MRT Station",2017-07-06,"University Town"
"1912",2017-03-17,"Opp. Yusof Ishak House",2017-03-17,"Opp. KR MRT Station"
"1913",2017-04-15,"House 15",2017-04-15,"University Town"
"1914",2016-04-04,"Opp. KR MRT Station",2016-04-04,"Central Library"
"1915",2017-01-20,"University Health Centre",2017-01-20,"University Town"
"1916",2015-12-09,"Museum",2015-12-09,"University Town"
"1917",2016-04-04,"House 12",2016-04-04,"University Town"
"1918",2016-09-05,"University Town",2016-09-05,"Central Library"
"1919",2015-07-09,"Opp. KR MRT Station",2015-07-09,"COM2"
"1920",2015-12-18,"COM2",2015-12-18,"KR MRT Station "
"1921",2017-01-08,"LT29",2017-01-08,"S17"
"1922",2016-05-30,"Computer Centre",2016-05-30,"KR MRT Station "
"1923",2015-10-20,"University Town",2015-10-20,"KR MRT Station "
"1924",2016-04-14,"S17",2016-04-14,"University Town"
"1925",2016-05-29,"COM2",2016-05-29,"Central Library"
"1926",2015-03-27,"LT29",2015-03-27,"S17"
"1927",2015-10-06,"University Town",2015-10-06,"KR MRT Station "
"1928",2017-10-06,"KR MRT Station ",2017-10-06,"LT29"
"1929",2016-12-26,"University Town",2016-12-26,"Opp. KR MRT Station"
"1930",2015-08-10,"KR MRT Station ",2015-08-10,"COM2"
"1931",2017-10-05,"Opp. KR MRT Station",2017-10-05,"KR MRT Station "
"1932",2016-06-11,"KR MRT Station ",2016-06-11,"Central Library"
"1933",2017-03-05,"Opp. KR MRT Station",2017-03-05,"Yusof Ishak House"
"1934",2015-02-25,"Computer Centre",2015-02-25,"LT29"
"1935",2016-02-23,"Central Library",2016-02-23,"KR MRT Station "
"1936",2017-10-02,"Computer Centre",2017-10-02,"Opp. KR MRT Station"
"1937",2016-06-25,"Computer Centre",2016-06-25,"University Town"
"1938",2017-07-04,"LT29",2017-07-04,"University Town"
"1939",2016-11-04,"LT29",2016-11-04,"Central Library"
"1940",2016-07-21,"University Town",2016-07-21,"Opp. KR MRT Station"
"1941",2015-04-25,"Opp. KR MRT Station",2015-04-25,"Computer Centre"
"1942",2017-08-10,"Opp. KR MRT Station",2017-08-10,"LT29"
"1943",2015-05-04,"University Town",2015-05-04,"KR MRT Station "
"1944",2015-11-09,"KR MRT Station ",2015-11-09,"LT29"
"1945",2016-02-10,"KR MRT Station ",2016-02-10,"University Town"
"1946",2017-07-21,"Opp. University Hall",2017-07-21,"COM2"
"1947",2016-12-19,"Computer Centre",2016-12-19,"Central Library"
"1948",2016-02-02,"Computer Centre",2016-02-02,"LT29"
"1949",2017-10-29,"COM2",2017-10-29,"Opp. Hon Sui Sen Memorial Library"
"1950",2017-06-12,"Computer Centre",2017-06-12,"Central Library"
"1951",2016-06-16,"Opp. Yusof Ishak House",2016-06-16,"KR MRT Station "
"1952",2015-03-16,"S17",2015-03-16,"Opp. KR MRT Station"
"1953",2017-04-25,"KR MRT Station ",2017-04-25,"University Town"
"1954",2015-01-01,"COM2",2015-01-01,"Raffles Hall"
"1955",2015-02-17,"KR MRT Station ",2015-02-17,"LT29"
"1956",2015-07-09,"S17",2015-07-09,"Opp. KR MRT Station"
"1957",2016-10-20,"University Town",2016-10-20,"Raffles Hall"
"1958",2016-05-22,"LT29",2016-05-22,"S17"
"1959",2015-02-10,"University Town",2015-02-10,"COM2"
"1960",2015-11-05,"Opp. KR MRT Station",2015-11-05,"Computer Centre"
"1961",2015-02-26,"COM2",2015-02-26,"KR MRT Station "
"1962",2015-07-15,"KR MRT Station ",2015-07-15,"LT29"
"1963",2015-05-15,"University Town",2015-05-15,"BIZ2"
"1964",2016-04-28,"Opp. KR MRT Station",2016-04-28,"KR MRT Station "
"1965",2017-09-29,"Computer Centre",2017-09-29,"COM2"
"1966",2015-02-02,"University Town",2015-02-02,"Central Library"
"1967",2015-03-10,"Computer Centre",2015-03-10,"Opp. Yusof Ishak House"
"1968",2016-09-13,"COM2",2016-09-13,"University Health Centre"
"1969",2016-06-10,"University Town",2016-06-10,"LT29"
"1970",2017-06-19,"Computer Centre",2017-06-19,"University Hall"
"1971",2015-11-08,"COM2",2015-11-08,"S17"
"1972",2017-07-15,"LT13",2017-07-15,"University Town"
"1973",2015-06-30,"Opp. KR MRT Station",2015-06-30,"House 15"
"1974",2017-10-09,"Opp. University Hall",2017-10-09,"S17"
"1975",2016-04-27,"KR MRT Station ",2016-04-27,"University Town"
"1976",2016-08-09,"University Hall",2016-08-09,"LT29"
"1977",2015-03-23,"Opp. KR MRT Station",2015-03-23,"Computer Centre"
"1978",2016-02-24,"Computer Centre",2016-02-24,"University Town"
"1979",2016-02-22,"KR MRT Station ",2016-02-22,"House 7"
"1980",2017-08-07,"University Town",2017-08-07,"Opp. NUSS"
"1981",2015-05-27,"University Town",2015-05-27,"Opp. KR MRT Station"
"1982",2015-08-11,"Central Library",2015-08-11,"KR MRT Station "
"1983",2015-08-21,"Central Library",2015-08-21,"Opp. University Hall"
"1984",2016-11-18,"LT29",2016-11-18,"Central Library"
"1985",2017-08-18,"COM2",2017-08-18,"LT29"
"1986",2017-10-01,"LT29",2017-10-01,"University Town"
"1987",2016-07-15,"Computer Centre",2016-07-15,"House 15"
"1988",2017-08-15,"S17",2017-08-15,"Central Library"
"1989",2016-07-25,"COM2",2016-07-25,"Kent Ridge Bus Terminal"
"1990",2016-11-25,"Computer Centre",2016-11-25,"KR MRT Station "
"1991",2015-10-26,"University Town",2015-10-26,"Opp. KR MRT Station"
"1992",2017-06-13,"KR MRT Station ",2017-06-13,"Computer Centre"
"1993",2015-03-25,"Opp. Yusof Ishak House",2015-03-25,"University Health Centre"
"1994",2017-10-09,"Opp. Hon Sui Sen Memorial Library",2017-10-09,"Opp. KR MRT Station"
"1995",2017-11-03,"Computer Centre",2017-11-03,"University Town"
"1996",2017-07-11,"University Town",2017-07-11,"LT29"
"1997",2016-05-12,"COM2",2016-05-12,"Computer Centre"
"1998",2016-08-17,"University Town",2016-08-17,"LT29"
"1999",2016-05-04,"University Town",2016-05-04,"University Hall"
"2000",2016-04-04,"KR MRT Station ",2016-04-04,"Central Library"
"2001",2016-06-07,"Opp. University Hall",2016-06-07,"S17"
"2002",2017-06-01,"KR MRT Station ",2017-06-01,"Opp. KR MRT Station"
"2003",2015-08-21,"EA",2015-08-21,"House 12"
"2004",2015-06-29,"S17",2015-06-29,"LT29"
"2005",2017-06-09,"KR MRT Station ",2017-06-09,"Opp. Yusof Ishak House"
"2006",2016-10-07,"Opp. KR MRT Station",2016-10-07,"Ventus (Opp. LT13)"
"2007",2016-07-06,"KR MRT Station ",2016-07-06,"Yusof Ishak House"
"2008",2016-07-06,"Central Library",2016-07-06,"KR MRT Station "
"2009",2015-10-08,"KR MRT Station ",2015-10-08,"Computer Centre"
"2010",2017-02-08,"LT29",2017-02-08,"Computer Centre"
"2011",2016-12-06,"University Town",2016-12-06,"S17"
"2012",2017-01-03,"University Town",2017-01-03,"S17"
"2013",2015-06-23,"COM2",2015-06-23,"Raffles Hall"
"2014",2015-09-04,"COM2",2015-09-04,"Opp. KR MRT Station"
"2015",2017-04-27,"Computer Centre",2017-04-27,"Carpark 11 (BIZ)"
"2016",2016-06-14,"University Town",2016-06-14,"Opp. KR MRT Station"
"2017",2016-11-30,"KR MRT Station ",2016-11-30,"House 15"
"2018",2017-10-25,"House 12",2017-10-25,"Opp. KR MRT Station"
"2019",2017-11-03,"KR MRT Station ",2017-11-03,"Computer Centre"
"2020",2015-12-09,"S17",2015-12-09,"Opp. KR MRT Station"
"2021",2017-09-21,"University Town",2017-09-21,"EA"
"2022",2016-04-14,"University Town",2016-04-14,"Computer Centre"
"2023",2016-07-07,"University Town",2016-07-07,"Museum"
"2024",2016-04-08,"EA",2016-04-08,"S17"
"2025",2015-12-24,"COM2",2015-12-24,"Computer Centre"
"2026",2017-02-07,"S17",2017-02-07,"Museum"
"2027",2016-05-10,"University Town",2016-05-10,"KR MRT Station "
"2028",2016-08-26,"Computer Centre",2016-08-26,"Opp. KR MRT Station"
"2029",2017-10-26,"COM2",2017-10-26,"University Hall"
"2030",2015-11-08,"S17",2015-11-08,"University Town"
"2031",2016-07-12,"Opp. Yusof Ishak House",2016-07-12,"KR MRT Station "
"2032",2015-12-16,"KR MRT Station ",2015-12-16,"University Town"
"2033",2016-05-25,"Central Library",2016-05-25,"KR MRT Station "
"2034",2016-01-07,"AS7",2016-01-07,"LT29"
"2035",2017-09-06,"Computer Centre",2017-09-06,"COM2"
"2036",2016-12-20,"University Town",2016-12-20,"Opp. University Hall"
"2037",2017-10-02,"LT29",2017-10-02,"University Town"
"2038",2016-02-03,"Computer Centre",2016-02-03,"Museum"
"2039",2015-11-02,"University Town",2015-11-02,"PGP"
"2040",2017-10-01,"Computer Centre",2017-10-01,"House 12"
"2041",2015-07-26,"Opp. KR MRT Station",2015-07-26,"University Town"
"2042",2017-02-26,"KR MRT Station ",2017-02-26,"Opp. KR MRT Station"
"2043",2016-04-14,"KR MRT Station ",2016-04-14,"S17"
"2044",2016-10-26,"KR MRT Station ",2016-10-26,"COM2"
"2045",2015-09-16,"Opp. KR MRT Station",2015-09-16,"KR MRT Station "
"2046",2017-04-05,"COM2",2017-04-05,"Central Library"
"2047",2017-01-11,"Central Library",2017-01-11,"Computer Centre"
"2048",2015-01-16,"Carpark 11 (BIZ)",2015-01-16,"University Town"
"2049",2015-03-02,"Computer Centre",2015-03-02,"Central Library"
"2050",2015-03-16,"S17",2015-03-16,"KR MRT Station "
"2051",2016-07-29,"COM2",2016-07-29,"LT29"
"2052",2017-08-17,"Opp. KR MRT Station",2017-08-17,"University Town"
"2053",2015-11-06,"COM2",2015-11-06,"KR MRT Station "
"2054",2015-10-02,"COM2",2015-10-02,"Ventus (Opp. LT13)"
"2055",2015-04-10,"KR MRT Station ",2015-04-10,"AS7"
"2056",2016-12-13,"COM2",2016-12-13,"Central Library"
"2057",2017-09-22,"University Town",2017-09-22,"University Town"
"2058",2015-02-23,"S17",2015-02-23,"Computer Centre"
"2059",2015-07-14,"Opp. NUSS",2015-07-14,"University Town"
"2060",2015-09-17,"S17",2015-09-17,"University Town"
"2061",2017-04-04,"University Town",2017-04-04,"Central Library"
"2062",2017-04-06,"LT29",2017-04-06,"Computer Centre"
"2063",2016-04-11,"S17",2016-04-11,"Computer Centre"
"2064",2016-10-10,"LT29",2016-10-10,"University Town"
"2065",2016-01-26,"Opp. KR MRT Station",2016-01-26,"Opp. House 12"
"2066",2017-06-23,"KR MRT Station ",2017-06-23,"S17"
"2067",2017-06-07,"KR MRT Station ",2017-06-07,"University Town"
"2068",2017-04-22,"S17",2017-04-22,"LT29"
"2069",2016-04-04,"KR MRT Station ",2016-04-04,"BIZ2"
"2070",2015-12-18,"University Town",2015-12-18,"Raffles Hall"
"2071",2015-05-27,"Opp. NUSS",2015-05-27,"University Town"
"2072",2015-10-21,"Opp. NUSS",2015-10-21,"University Town"
"2073",2017-10-04,"Computer Centre",2017-10-04,"KR MRT Station "
"2074",2017-10-13,"Computer Centre",2017-10-13,"COM2"
"2075",2016-11-08,"House 15",2016-11-08,"KR MRT Station "
"2076",2015-11-03,"AS7",2015-11-03,"Museum"
"2077",2016-11-14,"University Town",2016-11-14,"Computer Centre"
"2078",2017-07-10,"Central Library",2017-07-10,"KR MRT Station "
"2079",2015-07-30,"KR MRT Station ",2015-07-30,"Opp. House 12"
"2080",2017-09-20,"Opp. KR MRT Station",2017-09-20,"Computer Centre"
"2081",2017-05-03,"COM2",2017-05-03,"University Town"
"2082",2015-09-17,"COM2",2015-09-17,"KR MRT Station "
"2083",2017-11-27,"Opp. NUSS",2017-11-27,"Computer Centre"
"2084",2016-09-20,"University Town",2016-09-20,"S17"
"2085",2016-12-22,"KR MRT Station ",2016-12-22,"AS7"
"2086",2015-03-24,"Museum",2015-03-24,"COM2"
"2087",2016-11-07,"Opp. University Health Centre",2016-11-07,"University Town"
"2088",2016-10-05,"LT29",2016-10-05,"KR MRT Station "
"2089",2017-08-09,"Computer Centre",2017-08-09,"S17"
"2090",2016-06-24,"LT13",2016-06-24,"EA"
"2091",2016-04-22,"Central Library",2016-04-22,"KR MRT Station "
"2092",2017-05-17,"House 12",2017-05-17,"Central Library"
"2093",2017-09-20,"COM2",2017-09-20,"University Town"
"2094",2017-08-04,"Opp. KR MRT Station",2017-08-04,"Central Library"
"2095",2015-01-05,"COM2",2015-01-05,"S17"
"2096",2016-05-27,"COM2",2016-05-27,"Computer Centre"
"2097",2016-06-26,"Central Library",2016-06-26,"University Town"
"2098",2016-11-09,"KR MRT Station ",2016-11-09,"Carpark 11 (BIZ)"
"2099",2016-01-19,"Central Library",2016-01-19,"University Town"
"2100",2016-08-04,"COM2",2016-08-04,"S17"
"2101",2015-04-09,"University Town",2015-04-09,"University Hall"
"2102",2016-05-10,"LT29",2016-05-10,"COM2"
"2103",2017-01-23,"COM2",2017-01-23,"KR MRT Station "
"2104",2016-10-28,"KR MRT Station ",2016-10-28,"Computer Centre"
"2105",2016-09-20,"Computer Centre",2016-09-20,"Opp. Hon Sui Sen Memorial Library"
"2106",2015-01-08,"University Health Centre",2015-01-08,"Opp. KR MRT Station"
"2107",2017-06-09,"KR MRT Station ",2017-06-09,"LT29"
"2108",2016-04-08,"University Town",2016-04-08,"KR MRT Station "
"2109",2015-08-29,"COM2",2015-08-29,"LT29"
"2110",2017-12-22,"KR MRT Station ",2017-12-22,"S17"
"2111",2016-06-24,"LT29",2016-06-24,"S17"
"2112",2016-04-04,"COM2",2016-04-04,"LT29"
"2113",2017-06-05,"House 12",2017-06-05,"LT29"
"2114",2016-05-29,"Computer Centre",2016-05-29,"Museum"
"2115",2017-04-18,"KR MRT Station ",2017-04-18,"University Town"
"2116",2017-09-13,"Opp. KR MRT Station",2017-09-13,"Yusof Ishak House"
"2117",2017-10-26,"University Town",2017-10-26,"Computer Centre"
"2118",2016-02-15,"Opp. KR MRT Station",2016-02-15,"KR MRT Station "
"2119",2017-03-27,"University Town",2017-03-27,"Opp. KR MRT Station"
"2120",2015-09-18,"KR MRT Station ",2015-09-18,"COM2"
"2121",2015-02-08,"KR MRT Station ",2015-02-08,"University Town"
"2122",2015-08-25,"LT13",2015-08-25,"Central Library"
"2123",2015-08-14,"House 15",2015-08-14,"Museum"
"2124",2016-03-17,"COM2",2016-03-17,"Computer Centre"
"2125",2017-05-16,"COM2",2017-05-16,"University Town"
"2126",2016-03-22,"KR MRT Station ",2016-03-22,"University Health Centre"
"2127",2015-04-06,"Opp. KR MRT Station",2015-04-06,"Central Library"
"2128",2017-03-29,"Computer Centre",2017-03-29,"LT29"
"2129",2015-05-26,"Opp. KR MRT Station",2015-05-26,"KR MRT Station "
"2130",2016-10-10,"LT29",2016-10-10,"KR MRT Station "
"2131",2015-01-01,"S17",2015-01-01,"University Town"
"2132",2017-01-09,"S17",2017-01-09,"University Town"
"2133",2016-06-11,"KR MRT Station ",2016-06-11,"Central Library"
"2134",2015-04-30,"KR MRT Station ",2015-04-30,"Computer Centre"
"2135",2015-01-16,"LT29",2015-01-16,"University Town"
"2136",2015-09-01,"University Town",2015-09-01,"University Health Centre"
"2137",2015-04-27,"Raffles Hall",2015-04-27,"COM2"
"2138",2017-05-11,"LT29",2017-05-11,"Central Library"
"2139",2017-01-26,"Computer Centre",2017-01-26,"Opp. KR MRT Station"
"2140",2015-03-06,"Opp. KR MRT Station",2015-03-06,"KR MRT Station "
"2141",2015-01-06,"LT29",2015-01-06,"S17"
"2142",2017-04-05,"Computer Centre",2017-04-05,"S17"
"2143",2015-06-09,"LT29",2015-06-09,"Opp. University Health Centre"
"2144",2016-10-20,"KR MRT Station ",2016-10-20,"Central Library"
"2145",2017-09-12,"University Town",2017-09-12,"COM2"
"2146",2016-12-12,"University Town",2016-12-12,"LT29"
"2147",2015-01-27,"S17",2015-01-27,"University Town"
"2148",2015-10-20,"AS7",2015-10-20,"Museum"
"2149",2015-01-26,"COM2",2015-01-26,"Opp. KR MRT Station"
"2150",2016-02-15,"Opp. Hon Sui Sen Memorial Library",2016-02-15,"KR MRT Station "
"2151",2015-10-19,"House 12",2015-10-19,"S17"
"2152",2016-11-03,"KR MRT Station ",2016-11-03,"Central Library"
"2153",2016-12-07,"Carpark 11 (BIZ)",2016-12-07,"KR MRT Station "
"2154",2017-06-30,"S17",2017-06-30,"COM2"
"2155",2015-11-29,"S17",2015-11-29,"House 12"
"2156",2015-06-02,"House 12",2015-06-02,"KR MRT Station "
"2157",2017-07-10,"LT29",2017-07-10,"Opp. KR MRT Station"
"2158",2015-08-20,"COM2",2015-08-20,"LT13"
"2159",2017-02-22,"COM2",2017-02-22,"Ventus (Opp. LT13)"
"2160",2017-11-11,"Opp. KR MRT Station",2017-11-11,"COM2"
"2161",2015-05-20,"LT29",2015-05-20,"University Town"
"2162",2016-12-26,"Central Library",2016-12-26,"University Town"
"2163",2015-05-14,"COM2",2015-05-14,"Opp. University Hall"
"2164",2016-07-08,"Central Library",2016-07-08,"S17"
"2165",2017-05-17,"COM2",2017-05-17,"S17"
"2166",2015-04-15,"S17",2015-04-15,"KR MRT Station "
"2167",2015-11-23,"S17",2015-11-23,"COM2"
"2168",2016-05-23,"University Town",2016-05-23,"COM2"
"2169",2015-02-26,"Opp. KR MRT Station",2015-02-26,"LT29"
"2170",2015-10-20,"KR MRT Station ",2015-10-20,"House 12"
"2171",2015-09-03,"KR MRT Station ",2015-09-03,"Central Library"
"2172",2015-10-19,"LT29",2015-10-19,"COM2"
"2173",2015-08-14,"COM2",2015-08-14,"AS7"
"2174",2015-06-24,"KR MRT Station ",2015-06-24,"University Town"
"2175",2017-01-12,"LT29",2017-01-12,"KR MRT Station "
"2176",2015-07-09,"University Town",2015-07-09,"KR MRT Station "
"2177",2015-09-25,"KR MRT Station ",2015-09-25,"Opp. KR MRT Station"
"2178",2017-07-27,"Opp. NUSS",2017-07-27,"Central Library"
"2179",2017-08-24,"University Town",2017-08-24,"LT29"
"2180",2015-10-19,"University Town",2015-10-19,"Opp. KR MRT Station"
"2181",2017-03-05,"KR MRT Station ",2017-03-05,"COM2"
"2182",2017-09-29,"Computer Centre",2017-09-29,"University Town"
"2183",2016-07-28,"S17",2016-07-28,"Central Library"
"2184",2015-12-22,"Opp. University Health Centre",2015-12-22,"Central Library"
"2185",2017-08-04,"Opp. House 12",2017-08-04,"Computer Centre"
"2186",2017-12-27,"KR MRT Station ",2017-12-27,"COM2"
"2187",2016-08-22,"Opp. NUSS",2016-08-22,"EA"
"2188",2015-03-22,"University Town",2015-03-22,"COM2"
"2189",2017-03-22,"University Town",2017-03-22,"S17"
"2190",2017-12-14,"S17",2017-12-14,"Opp. KR MRT Station"
"2191",2015-12-03,"LT29",2015-12-03,"Opp. KR MRT Station"
"2192",2017-01-15,"Opp. University Hall",2017-01-15,"University Health Centre"
"2193",2016-03-03,"Opp. KR MRT Station",2016-03-03,"COM2"
"2194",2016-06-10,"KR MRT Station ",2016-06-10,"S17"
"2195",2017-06-19,"Museum",2017-06-19,"Opp. Hon Sui Sen Memorial Library"
"2196",2017-07-05,"COM2",2017-07-05,"EA"
"2197",2017-11-29,"University Town",2017-11-29,"BIZ2"
"2198",2015-12-01,"S17",2015-12-01,"KR MRT Station "
"2199",2015-04-13,"Central Library",2015-04-13,"KR MRT Station "
"2200",2017-12-05,"Computer Centre",2017-12-05,"LT29"
"2201",2017-02-01,"University Town",2017-02-01,"Computer Centre"
"2202",2017-01-05,"University Hall",2017-01-05,"Central Library"
"2203",2015-10-16,"University Town",2015-10-16,"Opp. KR MRT Station"
"2204",2017-02-07,"S17",2017-02-07,"University Town"
"2205",2015-12-21,"KR MRT Station ",2015-12-21,"Computer Centre"
"2206",2016-10-10,"KR MRT Station ",2016-10-10,"Computer Centre"
"2207",2016-07-04,"KR MRT Station ",2016-07-04,"University Town"
"2208",2016-06-19,"KR MRT Station ",2016-06-19,"PGP"
"2209",2016-10-26,"University Health Centre",2016-10-26,"House 12"
"2210",2015-07-10,"University Town",2015-07-10,"University Health Centre"
"2211",2015-06-02,"House 7",2015-06-02,"LT29"
"2212",2017-04-22,"KR MRT Station ",2017-04-22,"COM2"
"2213",2017-05-30,"S17",2017-05-30,"COM2"
"2214",2017-09-18,"S17",2017-09-18,"University Town"
"2215",2017-06-21,"LT29",2017-06-21,"KR MRT Station "
"2216",2015-06-23,"LT29",2015-06-23,"S17"
"2217",2016-04-22,"LT29",2016-04-22,"COM2"
"2218",2016-03-10,"Opp. House 12",2016-03-10,"Opp. KR MRT Station"
"2219",2017-02-16,"University Town",2017-02-16,"Opp. University Hall"
"2220",2017-05-02,"COM2",2017-05-02,"Opp. KR MRT Station"
"2221",2016-08-03,"Opp. KR MRT Station",2016-08-03,"S17"
"2222",2017-01-23,"University Town",2017-01-23,"University Town"
"2223",2015-06-15,"Ventus (Opp. LT13)",2015-06-15,"KR MRT Station "
"2224",2017-10-11,"COM2",2017-10-11,"University Town"
"2225",2016-11-01,"Opp. University Hall",2016-11-01,"Computer Centre"
"2226",2016-03-31,"COM2",2016-03-31,"Computer Centre"
"2227",2015-06-08,"House 12",2015-06-08,"LT29"
"2228",2016-12-19,"KR MRT Station ",2016-12-19,"Computer Centre"
"2229",2015-07-06,"Opp. House 12",2015-07-06,"House 7"
"2230",2015-09-23,"Opp. University Health Centre",2015-09-23,"KR MRT Station "
"2231",2015-11-06,"KR MRT Station ",2015-11-06,"University Town"
"2232",2017-03-05,"COM2",2017-03-05,"KR MRT Station "
"2233",2015-08-11,"Computer Centre",2015-08-11,"Opp. KR MRT Station"
"2234",2017-08-18,"COM2",2017-08-18,"Central Library"
"2235",2015-02-12,"University Town",2015-02-12,"Computer Centre"
"2236",2015-08-06,"S17",2015-08-06,"Opp. KR MRT Station"
"2237",2016-04-07,"KR MRT Station ",2016-04-07,"S17"
"2238",2016-09-27,"LT29",2016-09-27,"COM2"
"2239",2016-01-06,"Kent Ridge Bus Terminal",2016-01-06,"KR MRT Station "
"2240",2015-12-21,"Computer Centre",2015-12-21,"COM2"
"2241",2016-01-27,"KR MRT Station ",2016-01-27,"Raffles Hall"
"2242",2017-11-07,"Central Library",2017-11-07,"KR MRT Station "
"2243",2015-06-03,"KR MRT Station ",2015-06-03,"LT29"
"2244",2017-08-08,"KR MRT Station ",2017-08-08,"COM2"
"2245",2016-12-29,"COM2",2016-12-29,"Central Library"
"2246",2015-09-07,"Central Library",2015-09-07,"Yusof Ishak House"
"2247",2015-09-22,"Computer Centre",2015-09-22,"KR MRT Station "
"2248",2016-08-11,"Central Library",2016-08-11,"KR MRT Station "
"2249",2016-04-20,"Opp. University Health Centre",2016-04-20,"House 12"
"2250",2015-12-04,"COM2",2015-12-04,"LT29"
"2251",2017-05-16,"KR MRT Station ",2017-05-16,"COM2"
